Rank,Name,Year,Rating,Rating amount
1,Skazani na Shawshank,1994,9.3 ,2.9M
2,Ojciec chrzestny,1972,9.2 ,2M
3,Mroczny Rycerz,2008,9.0 ,2.9M
4,Ojciec chrzestny II,1974,9.0 ,1.4M
5,Dwunastu gniewnych ludzi,1957,9.0 ,867K
6,Lista Schindlera,1993,9.0 ,1.5M
7,Władca Pierścieni: Powrót króla,2003,9.0 ,2M
8,Pulp Fiction,1994,8.9 ,2.2M
9,Władca Pierścieni: Drużyna Pierścienia,2001,8.9 ,2M
10,"Dobry, zły i brzydki",1966,8.8 ,812K
11,Forrest Gump,1994,8.8 ,2.3M
12,Władca Pierścieni: Dwie wieże,2002,8.8 ,1.8M
13,Podziemny krąg,1999,8.8 ,2.3M
14,Incepcja,2010,8.8 ,2.6M
15,Gwiezdne wojny: Część V - Imperium kontratakuje,1980,8.7 ,1.4M
16,Matrix,1999,8.7 ,2.1M
17,Chłopcy z ferajny,1990,8.7 ,1.3M
18,Lot nad kukułczym gniazdem,1975,8.7 ,1.1M
19,Siedem,1995,8.6 ,1.8M
20,Interstellar,2014,8.7 ,2.1M
21,To wspaniałe życie,1946,8.6 ,500K
22,Siedmiu samurajów,1954,8.6 ,367K
23,Milczenie owiec,1991,8.6 ,1.6M
24,Szeregowiec Ryan,1998,8.6 ,1.5M
25,Diuna: Część druga,2024,8.7 ,395K
26,Miasto Boga,2002,8.6 ,802K
27,Życie jest piękne,1997,8.6 ,744K
28,Zielona mila,1999,8.6 ,1.4M
29,Terminator 2: Dzień Sądu,1991,8.6 ,1.2M
30,Gwiezdne wojny,1977,8.6 ,1.5M
31,Powrót do przyszłości,1985,8.5 ,1.3M
32,Spirited Away: W krainie bogów,2001,8.6 ,851K
33,Pianista,2002,8.5 ,914K
34,Parasite,2019,8.5 ,962K
35,Psychoza,1960,8.5 ,719K
36,Spider-Man: Poprzez multiwersum,2023,8.6 ,372K
37,Gladiator,2000,8.5 ,1.6M
38,Król lew,1994,8.5 ,1.1M
39,Infiltracja,2006,8.5 ,1.4M
40,Leon zawodowiec,1994,8.5 ,1.2M
41,Więzień nienawiści,1998,8.5 ,1.2M
42,Whiplash,2014,8.5 ,992K
43,Prestiż,2006,8.5 ,1.4M
44,Grobowiec świetlików,1988,8.5 ,311K
45,Harakiri,1962,8.6 ,69K
46,Podejrzani,1995,8.5 ,1.1M
47,Casablanca,1942,8.5 ,607K
48,Nietykalni,2011,8.5 ,931K
49,Cinema Paradiso,1988,8.5 ,283K
50,Dzisiejsze czasy,1936,8.5 ,260K
51,Okno na podwórze,1954,8.5 ,523K
52,Pewnego razu na Dzikim Zachodzie,1968,8.5 ,349K
53,Obcy - 8,1979,8.5 ,953K
54,Światła wielkiego miasta,1931,8.5 ,196K
55,Django,2012,8.5 ,1.7M
56,Czas Apokalipsy,1979,8.4 ,711K
57,Memento,2000,8.4 ,1.3M
58,12th Fail,2023,8.9 ,113K
59,WALL·E,2008,8.4 ,1.2M
60,Poszukiwacze zaginionej Arki,1981,8.4 ,1M
61,Życie na podsłuchu,2006,8.4 ,411K
62,Bulwar Zachodzącego Słońca,1950,8.4 ,237K
63,Avengers: Wojna bez granic,2018,8.4 ,1.2M
64,Ścieżki chwały,1957,8.4 ,213K
65,Spider-Man Uniwersum,2018,8.4 ,673K
66,Świadek oskarżenia,1957,8.4 ,138K
67,Lśnienie,1980,8.4 ,1.1M
68,Dyktator,1940,8.4 ,238K
69,Obcy 2 - decydujące starcie,1986,8.4 ,764K
70,Bękarty wojny,2009,8.4 ,1.6M
71,Mroczny Rycerz powstaje,2012,8.4 ,1.8M
72,"Dr Strangelove, czyli jak przestałem się martwić i pokochałem bombę",1964,8.4 ,519K
73,American Beauty,1999,8.3 ,1.2M
74,Coco,2017,8.4 ,592K
75,Oldboy,2003,8.3 ,637K
76,Amadeusz,1984,8.4 ,429K
77,Toy Story,1995,8.3 ,1.1M
78,Okręt,1981,8.4 ,265K
79,Avengers: Koniec gry,2019,8.4 ,1.3M
80,Braveheart - Waleczne Serce,1995,8.3 ,1.1M
