Genre,Name,Year,Rating,Rating amount
action,Furiosa: Saga Mad Max,2024,7.9,41K
action,Królestwo Planety Małp,2024,7.2,42K
action,Kaskader,2024,7.1,72K
action,Diuna: Część druga,2024,8.6,424K
action,Atlas,2024,5.6,22K
action,The Ministry of Ungentlemanly Warfare,2024,6.9,35K
action,Civil War,2024,7.3,87K
action,Madame Web,2024,3.9,66K
action,Godzilla i Kong: Nowe imperium,2024,6.2,65K
action,Boy Kills World,2023,6.4,10K
action,Hit Man,2023,7.4,2.7K
action,Road House,2024,6.2,127K
action,Love Lies Bleeding,2024,6.7,24K
action,Godzilla Minus One,2023,7.9,79K
action,Pszczelarz,2024,6.4,98K
action,Monkey Man,2024,6.9,47K
action,Igrzyska śmierci: Ballada ptaków i węży,2023,6.7,122K
action,Argylle - Tajny szpieg,2024,5.7,72K
action,Golden Kamuy,2024,6.4,990
action,Kung Fu Panda 4,2024,6.3,40K
action,Dama,2024,6.1,87K
action,Strefa wroga,2024,6.5,23K
action,Tuż po zmroku,2024,5.5,8.6K
action,Rebel Moon - część 1: Dziecko ognia,2023,5.6,120K
action,Rebel Moon - część 2: Zadająca rany,2024,5.2,43K
action,Mission: Impossible - Dead Reckoning Part One,2023,7.7,250K
action,Spider-Man: Poprzez multiwersum,2023,8.6,375K
action,Zmierzch epoki Wielkiej Stopy,2024,5.6,2.4K
action,John Wick 4,2023,7.7,337K
action,Aquaman i Zaginione Królestwo,2023,5.6,86K
action,Aavesham,2024,8.0,9.3K
action,Napoleon,2023,6.4,144K
action,Bez litości 3,2023,6.8,120K
action,Kraj świętych i grzeszników,2023,6.3,14K
action,Animal,2023,6.2,91K
action,Niezniszczalni 4,2023,4.8,41K
action,Dungeons & Dragons: Złodziejski honor,2023,7.2,227K
action,Strażnicy Galaktyki vol,2023,7.9,384K
action,"Żegnajcie, laleczki",2024,5.5,14K
action,Plan wycieczki,2023,6.3,43K
action,Mizantrop,2023,6.6,40K
action,Zabójca,2023,6.7,186K
action,Szybcy i wściekli 10,2023,5.8,121K
action,Darkness of Man,2024,4.5,484
action,Przymierze,2023,7.5,165K
action,Twórca,2023,6.7,164K
action,Jiu Long cheng zhai · Wei cheng,2024,7.5,828
action,Transformers: Przebudzenie bestii,2023,6.0,106K
action,Gra fortuny,2023,6.3,87K
action,Blue Beetle,2023,6.0,97K
action,Indiana Jones i artefakt przeznaczenia,2023,6.5,201K
action,Flash,2023,6.7,212K
action,Gran Turismo,2023,7.1,103K
action,Yodha,2024,5.7,6.9K
action,"Randka, bez odbioru",2023,5.8,63K
action,Cash Out,2024,4.6,1.2K
action,Skok w przestworzach,2024,5.5,40K
action,Marvels,2023,5.5,128K
action,Article 370,2024,7.9,19K
action,Bękart,2023,7.7,18K
action,Meg 2: Głębia,2023,5.0,80K
action,Mars Express,2023,7.5,3.5K
action,The Last Kumite,2024,4.8,1.3K
action,Chief of Station,2024,4.7,1.5K
action,Trzej muszkieterowie: Milady,2023,6.4,5.3K
action,Wojownicze Żółwie Ninja: Zmutowany chaos,2023,7.2,65K
action,Adagio,2023,6.6,1.6K
action,Gniew Becky,2023,6.1,12K
action,Murarz,2023,5.1,7.8K
action,Trzej muszkieterowie: D'Artagnan,2023,6.7,20K
action,Tyler Rake 2,2023,7.0,149K
action,Damaged,2024,4.6,3.2K
action,Mercy,2023,4.5,1.3K
action,Bhaiyya Ji,2024,7.3,5.3K
action,Freelance,2023,5.5,19K
action,Turbo,2024,6.6,1.5K
action,Le Comte de Monte-Cristo,2024,6.6,38
action,65,2023,5.4,89K
action,Hipnoza,2023,5.5,37K
action,Fighter,2024,6.2,46K
action,Ant-Man i Osa: Kwantomania,2023,6.1,230K
action,Kandahar,2023,6.1,35K
action,Thelma,2024,7.6,270
action,Muzzle,2023,5.5,3K
action,Shiti Hanta,2024,6.3,3.5K
action,Przerwany lot,2023,6.5,79K
action,Justice League: Crisis on Infinite Earths - Part Two,2024,5.5,1.9K
action,Megamind vs the Doom Syndicate,2024,2.4,4.1K
action,Shazam! Gniew bogów,2023,5.9,126K
action,Bez paniki,2024,4.6,4.6K
action,Hanu Man,2024,7.9,24K
action,Bastar: The Naxal Story,2024,6.5,2.2K
action,Renfield,2023,6.4,97K
action,Misja Stone,2023,5.7,60K
action,The Retirement Plan,2023,5.1,7.3K
action,One More Shot,2024,5.4,2.5K
action,"Kimetsu no Yaiba Kizuna no Kiseki, Soshite Hashira Geiko e",2024,6.6,3.9K
action,One Day as a Lion,2023,5.1,1.9K
action,Ultimatum,2023,5.3,21K
action,Breathe,2024,3.8,1.5K
action,Fear the Night,2023,4.8,3.7K
action,Fast Charlie,2023,6.0,20K
action,Zabójcza gra,2024,5.5,15K
action,Nimona,2023,7.5,50K
action,Chasing Raine,2024,3.3,136
action,Leo,2023,7.2,59K
action,Seoul-ui bom,2023,7.7,2.4K
action,Justice League: Crisis on Infinite Earths - Part One,2024,6.3,4.9K
action,Matka,2023,5.6,48K
action,River Wild,2023,5.4,5.3K
action,Psi Patrol: Wielki film,2023,5.9,5K
action,Rycerze Zodiaku,2023,4.4,13K
action,Family Star,2024,5.1,3K
action,Teściowie poszukiwani,2023,5.4,36K
action,Boudica: Królowa wojny,2023,4.2,2.7K
action,Black Lotus,2023,4.2,2.2K
action,Toksyczny mściciel,2023,5.9,426
action,Zapadlisko,2023,5.3,7.6K
action,Niewidzialna zemsta,2024,5.4,3.1K
action,Cena strachu,2024,4.5,3K
action,Kod 8: Część 2,2024,5.7,12K
action,God Is a Bullet,2023,5.7,6.3K
action,Salaar: Cease Fire - Part 1,2023,6.5,65K
action,Myśliwi z ruin,2024,5.9,9.7K
action,Blood for Dust,2023,5.2,1.1K
action,Jade,2024,3.6,292
action,Creed III,2023,6.7,94K
action,Kalahari,2024,3.8,1.9K
action,Gdy zgasną światła,2024,4.8,1.2K
action,Miss Kraken,2023,5.7,11K
action,Wśród nocnej ciszy,2023,5.3,19K
action,Przejście,2023,5.6,4.8K
action,Siedmiu królów musi umrzeć,2023,6.9,36K
action,Jawan,2023,7.0,96K
action,Zabójcze wesele,2023,5.7,70K
action,Paradise,2023,6.3,20K
action,Rathnam,2024,7.1,2.7K
action,Teen Wolf: The Movie,2023,5.5,14K
action,Wanted Man,2024,4.7,1.8K
action,Beomjoedosi4,2024,6.9,653
action,The Thundermans Return,2024,5.0,1.3K
action,Ruthless,2023,4.9,1.1K
action,Stara szkoła,2023,5.5,8.8K
action,The Convert,2023,7.6,158
action,Die Hart,2023,5.2,3.7K
action,American Star,2024,5.4,1.5K
action,Aggro Dr1ft,2023,5.5,327
action,Piotruś Pan i Wendy,2023,4.4,28K
action,Balerina,2023,6.2,12K
action,Droga bez odwrotu,2023,5.8,3.5K
action,4 Kings 2,2023,6.9,614
action,Maszyna,2023,5.8,16K
action,Akelli,2023,6.1,6K
action,Spy × Family Code: White,2023,7.4,2.8K
action,The Flood,2023,3.2,1.8K
action,Diabelska jazda,2023,5.5,9.6K
action,The Tiger's Apprentice,2024,5.7,1.5K
action,Kimetsu no Yaiba: Katanakaji no Sato-hen,2023,7.5,11K
action,Hidden Strike,2023,5.3,19K
action,Zagadka ognia,2023,6.6,981
action,Wstrząsy,2023,6.7,5.7K
action,Americana,2023,7.1,121
action,Bade Miyan Chote Miyan,2024,5.0,35K
